county,precinct,precinctName
"GWINNETT","028","ROCKYCREEK A"
"GWINNETT","129","DUNCANS B"
"BARROW","03","03"
"BARROW","04","04"
"BARROW","02","02"
"WALTON","250","WALKER PARK"
"WALTON","420","NORTH MONROE"
"WALTON","414","GRATIS"
"BARROW","01","01"
"BARROW","13","13"
"BARROW","08","08"
"MORGAN","02","Centennial"
"WALTON","559","GOOD HOPE"
"MORGAN","03","Gibbs"
"MORGAN","01","Rec Dept"
"MORGAN","05","Buckhead"
"OCONEE","03-BI","BISHOP"
"WALTON","454","MOUNTAIN"
"OCONEE","05-DC","DARK CORNER"
"OCONEE","04-NO","NORTH OCONEE"
"OCONEE","06-BO","BOGART"
"BARROW","05","05"
"CLARKE","6A","6A"
"OCONEE","07-MH","MARSWOOD HALL"
"OCONEE","08-CC","CIVIC CENTER"
"CLARKE","6C","6C"
"OCONEE","01-CH","CITY HALL"
"CLARKE","7A","7A"
"CLARKE","7B","7B"
"CLARKE","7C","7C"
"CLARKE","4B","4B"
"CLARKE","6B","6B"
"CLARKE","6D","6D"
"CLARKE","5B","5B"
"JACKSON","4000","SOUTH JACKSON"
"CLARKE","5A","5A"
"CLARKE","3A","3A"
"CLARKE","5C","5C"
"CLARKE","5D","5D"
"MURRAY","1895","SPRING PLACE"
"MURRAY","1039","SHUCK PEN"
"MURRAY","872","CARTERS-DOOLITTLE"
"MURRAY","824","TOWN"
"MURRAY","1013","MCDONALD"
"WHITFIELD","LT","LT"
"WHITFIELD","UT","UT"
"MURRAY","874","NORTH"
"GILMER","03","TAILS CREEK"
"GILMER","08","MOUNTAINTOWN"
"GILMER","01","ELLIJAY SOUTH"
"GILMER","10","ELLIJAY NORTH"
"GILMER","09","EAST ELLIJAY"
"GILMER","13","ELLIJAY NORTHEAST"
"GILMER","07","BOARDTOWN"
"FANNIN","COLW","COLWELL"
"FANNIN","MOBI","MOBILE"
"GILMER","02","CARTECAY"
"GILMER","12","ROY ROAD"
"GILMER","06","CHERRY LOG"
"FANNIN","TOCC","TOCCOA"
"FANNIN","SKEN","SKENIAH"
"FANNIN","NOON","NOONTOOTLA"
"FANNIN","MORG","MORGANTON"
"FANNIN","SUGC","SUGAR CREEK"
"FANNIN","FLIN","FLINTHILL"
"FANNIN","MINE","MINERAL BLUFF"
"FANNIN","HOTH","HOTHOUSE"
"FANNIN","HEMP","HEMPTOWN"
"FANNIN","FAIR","FAIRPLAY"
"UNION","5","SUCHES"
"UNION","2","JONES CREEK"
"UNION","10","COOSA"
"UNION","3","OWLTOWN"
"UNION","7","DOOLEY"
"UNION","9","PAT COLWELL"
"UNION","4","IVY LOG"
"UNION","8","GUMLOG"
"UNION","1","BLAIRSVILLE"
"NEWTON","05CM","05-COVINGTON MILLS"
"NEWTON","02TN","02-TOWN"
"NEWTON","01CP","01-CITY POND"
"NEWTON","17OXF","17-OXFORD"
"NEWTON","04ALC","04-ALCOVY"
"NEWTON","07BS","07-BRICK STORE"
"WALTON","416","WALNUT GROVE"
"WALTON","423","BROKEN ARROW"
"WALTON","427","TARA"
"WALTON","502","JERSEY"
"WALTON","415","BETWEEN"
"NEWTON","25HB","25-HUB"
"WALTON","418","SOCIAL CIRCLE"
"WALTON","1675","WHATLEY"
"WALTON","426","W MONROE"
"WALTON","419","SOUTH MONROE"
"WALTON","503","BLASINGAME"
"WALTON","425","E MONROE"
"COWETA","03","PINE ROAD"
"COWETA","11","WELCOME"
"COWETA","15","SMOKEY ROAD"
"COWETA","24","WESTSIDE"
"COWETA","05","NEWNAN"
"COWETA","20","EXPO CENTER"
"COWETA","12","PANTHER CREEK"
"CARROLL","682","WHITESBURG"
"COWETA","17","CENTRAL"
"COWETA","19","GREENTOP"
"COWETA","13","RAYMOND"
"COWETA","18","NEWNAN CENTRE"
"COWETA","21","WHITE OAK"
"COWETA","25","NORTHSIDE"
"COWETA","22","MADRAS"
"FULTON","CH05","CH05"
"FULTON","CH04A","CH04A"
"MERIWETHER","09","MIDDLE 9TH-GAY"
"COWETA","14","TURIN"
"MERIWETHER","08","UPPER 9TH-ALVATON"
"COWETA","10","HARALSON"
"COWETA","01","SENOIA"
"PIKE","1","CONCORD"
"PIKE","2","HOLLONVILLE"
"SPALDING","12","12"
"COWETA","27","COWETA CENTRAL LIBRARY"
"COWETA","26","THOMAS CROSSROADS"
"COWETA","06","SHARPSBURG"
"FAYETTE","18","KEDRON"
"FAYETTE","19","ABERDEEN"
"FAYETTE","32","WILLOWBEND"
"FAYETTE","21","FLAT CREEK"
"FAYETTE","17","OAK GROVE"
"FAYETTE","12","SHAKERAG WEST"
"FAYETTE","20","WINDGATE"
"FAYETTE","33","CAMP CREEK"
"FAYETTE","11","SHAKERAG EAST"
"COWETA","07","FISCHER ROAD"
"COWETA","23","CANNONGATE"
"FAYETTE","09","RAREOVER"
"FULTON","PA01","PA01"
"FULTON","CH04B","CH04B"
"FULTON","FA01D","FA01D"
"FAYETTE","31","FIELDING RIDGE"
"FAYETTE","16","MCINTOSH"
"FULTON","FA01B","FA01B"
"FAYETTE","10","SANDY CREEK"
"FULTON","SC07C","SC07C"
"FULTON","FA01C","FA01C"
"FAYETTE","34","RISING STAR"
"FAYETTE","22","BRAELINN"
"FAYETTE","13","STARRS MILL"
"FAYETTE","14","WHITEWATER"
"FAYETTE","02","BROOKS"
"FAYETTE","15","WOOLSEY"
"FAYETTE","25","HARPS CROSSING"
"FAYETTE","36","ANTIOCH"
"FAYETTE","30","MURPHY"
"FAYETTE","26","WILLOW POND"
"FAYETTE","27","DOGWOOD"
"FAYETTE","35","SPRING HILL"
"FULTON","SC212","SC212"
"FULTON","UC032","UC032"
"FAYETTE","07","HOPEFUL"
"FULTON","SC211","SC211"
"FAYETTE","05","FAYETTEVILLE WEST"
"FAYETTE","08","MORNING CREEK"
"FAYETTE","01","BLACKROCK"
"FAYETTE","29","JEFF DAVIS"
"FAYETTE","04","FAYETTEVILLE EAST"
"FAYETTE","24","BANKS"
"FAYETTE","28","OAK RIDGE"
"FAYETTE","23","KENWOOD"
"FAYETTE","03","EUROPE"
"CLAYTON","JB01","JONESBORO 1"
"CLAYTON","RD02","RIVERDALE 2"
"CLAYTON","JB12","JONESBORO 12"
"CLAYTON","RD12","RIVERDALE 12"
"TAYLOR","5","PRECINCT 5"
"TAYLOR","1","PRECINCT 1"
"TAYLOR","6","PRECINCT 6"
"UPSON","0589","SALEM"
"UPSON","5610","TOWN"
"UPSON","1610","REDBONE"
"PIKE","6","LIFSEY SPRINGS"
"UPSON","0588","YATESVILLE"
"LAMAR","1713","L C S C"
"CRAWFORD","1","DISTRICT 1"
"PEACH","F1","FORT VALLEY #1"
"CRAWFORD","3","DISTRICT 3"
"MONROE","06","CULLODEN"
"LAMAR","1712C","REDBONE"
"CRAWFORD","2","DISTRICT 2"
"MONROE","14","RUSSELLVILLE"
"MONROE","11","KELSEYS"
"MONROE","05","COX"
"MONROE","09","FORSYTH"
"MONROE","02","BRANTLEYS"
"PIKE","7","WILLIAMSON"
"PIKE","8","ZEBULON"
"PIKE","3","MEANSVILLE"
"PIKE","5","SECOND DISTRICT"
"SPALDING","19","19"
"SPALDING","10","10"
"SPALDING","08","08"
"SPALDING","05","05"
"SPALDING","06","06"
"LAMAR","1711","BARNESVILLE"
"LAMAR","1714","MILNER"
"SPALDING","07","07"
"SPALDING","11","11"
"SPALDING","01","01"
"SPALDING","03","03"
"SPALDING","02","02"
"SPALDING","16","16"
"SPALDING","17","17"
"SPALDING","20","20"
"SPALDING","13","13"
"CLAYTON","PH2","PANHANDLE 2"
"HENRY","30","SOUTH HAMPTON"
"HENRY","31","NORTH HAMPTON"
"FAYETTE","06","FLINT"
"CLAYTON","PH1","PANHANDLE 1"
"CLAYTON","JB13","JONESBORO 13"
"CLAYTON","LJ3","LOVEJOY 3"
"CLAYTON","LJ4","LOVEJOY 4"
"CLAYTON","LJ5","LOVEJOY 5"
"CLAYTON","LJ8","LOVEJOY 8"
"CLAYTON","JB19","JONESBORO 19"
"CLAYTON","JB17","JONESBORO 17"
"CLAYTON","JB20","JONESBORO 20"
"CLAYTON","JB02","JONESBORO 2"
"CLAYTON","RD09","RIVERDALE 9"
"CLAYTON","JB16","JONESBORO 16"
"CLAYTON","RD05","RIVERDALE 5"
"CLAYTON","JB21","JONESBORO 21"
"CLAYTON","JB03","JONESBORO 3"
"CLAYTON","JB10","JONESBORO 10"
"CLAYTON","JB09","JONESBORO 9"
"CLAYTON","JB04","JONESBORO 4"
"CLAYTON","LJ6","LOVEJOY 6"
"CLAYTON","LJ1","LOVEJOY 1"
"CLAYTON","LJ2","LOVEJOY 2"
"CLAYTON","LJ7","LOVEJOY 7"
"CLAYTON","JB05","JONESBORO 5"
"CLAYTON","JB14","JONESBORO 14"
"CLAYTON","JB11","JONESBORO 11"
"CLAYTON","JB18","JONESBORO 18"
"CLAYTON","JB07","JONESBORO 7"
"CLAYTON","JB06","JONESBORO 6"
"CLAYTON","JB22","JONESBORO 22"
"SPALDING","14","14"
"SPALDING","21","21"
"HENRY","29","LOWES"
"HENRY","32","MOUNT CARMEL"
"HENRY","51","OAKLAND"
"HENRY","57","DUTCHTOWN"
"HENRY","50","PATES CREEK"
"HENRY","33","RED OAK"
"HENRY","54","STOCKBRIDGE CENTRAL"
"HENRY","39","STOCKBRIDGE EAST-WEST"
"HENRY","34","WESLEY LAKES"
"HENRY","28","WESTSIDE"
"HENRY","60","LAKE HAVEN"
"HENRY","53","FLIPPEN"
"HENRY","38","HICKORY FLAT"
"HENRY","42","COTTON INDIAN"
"LAMAR","1712B","SENIOR CITZEN BLDG"
"LAMAR","1712A","CHAPPELL MILL V. FD"
"SPALDING","09","09"
"BUTTS","TOWAG","TOWALIGA BAPTIST CHURCH"
"MONROE","08","EVERS"
"MONROE","10","HIGH FALLS"
"MONROE","13","PROCTORS"
"BUTTS","ROCK","ROCK CREEK MISSIONARY"
"HENRY","25","LOCUST GROVE"
"HENRY","49","SHILOH"
"HENRY","48","UNITY GROVE"
"HENRY","59","GROVE PARK"
"HENRY","26","TUSSAHAW"
"HENRY","35","MCDONOUGH"
"HENRY","61","MCDONOUGH CENTRAL"
"HENRY","52","LAKE DOW"
"HENRY","37","EAST LAKE"
"HENRY","36","MCMULLEN"
"HENRY","62","TIMBERRIDGE"
"HENRY","55","KELLEYTOWN"
"BUTTS","BCREC","BUTTS COUNTY RECREATION CENTER"
"HENRY","27","SANDY RIDGE"
"BUTTS","JENK","JENKINSBURG CITY HALL"
"HENRY","58","MT BETHEL"
"NEWTON","10DN","10-DOWNS"
"NEWTON","18RP","18-ROCKY PLAINS"
"NEWTON","09LIV","09-LIVINGSTON"
"ROCKDALE","SM","SM"
"ROCKDALE","RO","RO"
"ROCKDALE","CO","CO"
"DEKALB","MZ","MILLER GROVE HIGH"
"DEKALB","WD","WOODROW ROAD"
"DEKALB","LH","LITHONIA HIGH"
"DEKALB","RH","REDAN-TROTTI LIBRARY"
"DEKALB","LD","LITHONIA"
"DEKALB","SW","STONECREST LIBRARY"
"DEKALB","SL","STONEVIEW ELEM"
"DEKALB","PC","PRINCETON ELEM"
"DEKALB","RC","REDAN ELEM"
"DEKALB","SV","STEPHENSON HIGH"
"DEKALB","SD","STONE MOUNTAIN ELEM"
"DEKALB","WN","WYNBROOKE ELEM"
"DEKALB","ST","STEPHENSON MIDDLE"
"DEKALB","SO","SOUTH DESHON"
"GWINNETT","064","GARNERS D"
"DEKALB","RL","ROCK CHAPEL ROAD"
"ROCKDALE","LA","LA"
"DEKALB","RF","ROCK CHAPEL ELEM"
"DEKALB","RI","ROCKBRIDGE ROAD"
"GWINNETT","122","ROCKBRIDGE G"
"GWINNETT","002","ROCKBRIDGE A"
"GWINNETT","075","ROCKBRIDGE C"
"ROCKDALE","MA","MA"
"ROCKDALE","SP","SP"
"NEWTON","19BC","19-BUCK CREEK"
"NEWTON","20STN","20-STANSELLS"
"ROCKDALE","FI","FI"
"NEWTON","23FV","23-FAIRVIEW"
"ROCKDALE","FS","FS"
"ROCKDALE","OT","OT"
"ROCKDALE","MI","MI"
"NEWTON","13BD","13-BEAVERDAM"
"NEWTON","24CRW","24-CROWELL"
"NEWTON","08CS","08-CEDAR SHOALS"
"NEWTON","03ALM","03-ALMON"
"ROCKDALE","BT","BT"
"ROCKDALE","HI","HI"
"GWINNETT","104","ROCKBRIDGE F"
"GWINNETT","076","ROCKBRIDGE D"
"NEWTON","12GC","12-GUM CREEK"
"GWINNETT","101","PINCKNEYVILLE U"
"FULTON","SS01A","SS01A"
"GWINNETT","073","PINCKNEYVILLE P"
"GWINNETT","126","PINCKNEYVILLE A1"
"FULTON","RW22C","RW22C"
"FULTON","RW22B","RW22B"
"FULTON","JC19","JC19"
"FULTON","JC19A","JC19A"
"FULTON","JC13A","JC13A"
"GWINNETT","022","PINCKNEYVILLE C"
"GWINNETT","125","PINCKNEYVILLE Z"
"GWINNETT","062","PINCKNEYVILLE L"
"FULTON","JC13B","JC13B"
"GWINNETT","063","PINCKNEYVILLE M"
"FULTON","JC18","JC18"
"FULTON","AP01C","AP01C"
"FULTON","JC16","JC16"
"FULTON","AP01A","AP01A"
"FULTON","AP12A","AP12A"
"FULTON","JC14","JC14"
"FULTON","AP14A","AP14A"
"FULTON","JC15","JC15"
"FULTON","AP14","AP14"
"FULTON","JC10","JC10"
"FULTON","AP09A","AP09A"
"GWINNETT","121","PINCKNEYVILLE X"
"GWINNETT","040","PINCKNEYVILLE H"
"FULTON","JC12","JC12"
"GWINNETT","099","PINCKNEYVILLE T"
"GWINNETT","057","DULUTH D"
"GWINNETT","082","DULUTH E"
"GWINNETT","056","DULUTH C"
"FULTON","JC11","JC11"
"FULTON","JC09","JC09"
"FULTON","JC07","JC07"
"FULTON","JC08","JC08"
"FULTON","JC05","JC05"
"FULTON","JC04B","JC04B"
"FULTON","JC03A","JC03A"
"FULTON","JC04A","JC04A"
"FULTON","JC03B","JC03B"
"FULTON","JC06","JC06"
"GWINNETT","111","DULUTH H"
"FULTON","JC02","JC02"
"FORSYTH","35","35 JOHNS CREEK"
"HENRY","43","PLEASANT GROVE"
"ROCKDALE","LO","LO"
"DEKALB","FG","FLAT ROCK ELEM"
"DEKALB","CF","CANDLER-MURPHEY CANDLER ELEM"
"ROCKDALE","BA","BA"
"ROCKDALE","ST","ST"
"ROCKDALE","HC","HC"
"DEKALB","WF","WINNONA PARK"
"DEKALB","GA","GLENNWOOD"
"DEKALB","CI","CLAIREMONT WEST"
"DEKALB","SB","SCOTT"
"DEKALB","MG","MEDLOCK"
"DEKALB","CJ","CLAIRMONT ROAD"
"CLAYTON","JB08","JONESBORO 8"
"CLAYTON","MO8","MORROW 8"
"CLAYTON","MO5","MORROW 5"
"CLAYTON","MO10","MORROW 10"
"HENRY","41","STAGECOACH"
"HENRY","56","LIGHTHOUSE"
"HENRY","46","SHAKERAG"
"DEKALB","OV","OAK VIEW ELEM"
"DEKALB","HH","HARRIS-NARVIE J HARRIS ELEM"
"DEKALB","FK","FLAKES MILL"
"DEKALB","FE","FLAT SHOALS PARKWAY"
"DEKALB","CG","CHAPEL HILL ELEM"
"HENRY","45","SWAN LAKE"
"HENRY","44","AUSTIN ROAD"
"HENRY","47","ELLENWOOD"
"DEKALB","SY","SNAPFINGER ROAD"
"DEKALB","BJ","BROWNS MILL ELEM"
"DEKALB","SM","SALEM MIDDLE"
"DEKALB","MV","MILLER GROVE ROAD"
"DEKALB","CC","COLUMBIA ELEM"
"DEKALB","FL","FLAT SHOALS LIBRARY"
"DEKALB","CM","COLUMBIA MIDDLE"
"DEKALB","TC","TONEY ELEM"
"DEKALB","KE","KNOLLWOOD"
"DEKALB","WA","WADSWORTH"
"DEKALB","SG","SNAPFINGER ELEM"
"DEKALB","PA","PEACHCREST"
"DEKALB","MR","MATHIS-BOB MATHIS ELEM"
"DEKALB","RA","RAINBOW ELEM"
"DEKALB","KC","KELLEY CHAPEL ROAD"
"DEKALB","CA","COLUMBIA DRIVE"
"DEKALB","AF","AUSTIN DRIVE"
"DEKALB","CB","CANBY LANE ELEM"
"DEKALB","SR","SNAPFINGER ROAD N"
"DEKALB","GF","GLENWOOD ROAD"
"DEKALB","GB","GLENHAVEN"
"DEKALB","AI","AVONDALE HIGH"
"DEKALB","AE","AVONDALE"
"DEKALB","MO","MIDWAY"
"CHEROKEE","037","TOONIGH"
"CHEROKEE","024","LIBERTY"
"CHEROKEE","022","HOLLY SPRINGS"
"CHEROKEE","042","WILDCAT"
"CHEROKEE","043","WOODLANDS"
"CHEROKEE","026","LITTLE RIVER"
"CHEROKEE","001","AIR ACRES"
"FULTON","MP01","MP01"
"CHEROKEE","002","ARNOLD MILL"
"CHEROKEE","008","BRADSHAW"
"CHEROKEE","019","HICKORY FLAT"
"CHEROKEE","036","TEASLEY"
"CHEROKEE","010","CANTON"
"CHEROKEE","030","R M MOORE"
"CHEROKEE","031","R T JONES"
"CHEROKEE","039","UNIVETER"
"CHEROKEE","013","CLAYTON"
"CHEROKEE","033","SALACOA"
"PICKENS","4","JERUSALEM"
"PICKENS","5","LUDVILLE"
"PICKENS","3","HINTON"
"GILMER","05","LEACHES"
"PICKENS","2","HILL CITY"
"PICKENS","9","TATE"
"PICKENS","12","REFUGE"
"PICKENS","7","TALKING ROCK"
"GILMER","04","TOWN CREEK"
"PICKENS","8","JASPER"
"PICKENS","11","APPALACHIAN"
"GILMER","11","YUKON"
"CLAYTON","RD04","RIVERDALE 4"
"CLAYTON","RD07","RIVERDALE 7"
"CLAYTON","OAK5","OAK 5"
"CLAYTON","FP3","FOREST PARK 3"
"CLAYTON","RD06","RIVERDALE 6"
"CLAYTON","JB15","JONESBORO 15"
"CLAYTON","FP5","FOREST PARK 5"
"CLAYTON","FP6","FOREST PARK 6"
"CLAYTON","FP4","FOREST PARK 4"
"CLAYTON","FP1","FOREST PARK 1"
"FULTON","HP01","HP01"
"FULTON","12H1","12H1"
"FULTON","12E1","12E1"
"FULTON","12J","12J"
"FULTON","12H2","12H2"
"CLAYTON","FP2","FOREST PARK 2"
"FULTON","12M","12M"
"CLAYTON","MO2","MORROW 2"
"CLAYTON","MO7","MORROW 7"
"CLAYTON","MO3","MORROW 3"
"CLAYTON","LC1","LAKE CITY"
"CLAYTON","MO4","MORROW 4"
"CLAYTON","MO9","MORROW 9"
"CLAYTON","MO6","MORROW 6"
"CLAYTON","MO11","MORROW 11"
"CLAYTON","EW1","ELLENWOOD 1"
"CLAYTON","MO1","MORROW 1"
"DEKALB","BL","BOULDERCREST ROAD"
"CLAYTON","EW2","ELLENWOOD 2"
"DEKALB","CS","CEDAR GROVE SOUTH"
"DEKALB","CD","CEDAR GROVE ELEM"
"BIBB","HA4","HAZZARD 4"
"BIBB","HA2","HAZZARD 2"
"BIBB","HO2","HOWARD 2"
"MONROE","03","BURGAYS"
"MONROE","01","BENTONS"
"BIBB","HA3","HAZZARD 3"
"BIBB","GF5","GODFREY 5"
"BIBB","HA1","HAZZARD 1"
"BIBB","HO1","HOWARD 1"
"BIBB","VV4","VINEVILLE 4"
"BIBB","HO7","HOWARD 7"
"BIBB","HO6","HOWARD 6"
"BIBB","GF3","GODFREY 3"
"BIBB","GF4","GODFREY 4"
"BIBB","GF2","GODFREY 2"
"BIBB","GF1","GODFREY 1"
"BIBB","VV3","VINEVILLE 3"
"BIBB","VV6","VINEVILLE 6"
"BIBB","VV5","VINEVILLE 5"
"BIBB","HO4","HOWARD 4"
"BIBB","VV2","VINEVILLE 2"
"BIBB","VV1","VINEVILLE 1"
"BIBB","EM3","EAST MACON 3"
"BIBB","HO3","HOWARD 3"
"BIBB","HO5","HOWARD 5"
"JONES","9","FINNEY"
"HOUSTON","BMS","BMS"
"HOUSTON","WELL","WELL"
"TWIGGS","GI","GOLDEN ISLES"
"TWIGGS","SG/T","SHADY GROVE-TARVERS"
"BIBB","EM1","EAST MACON 1"
"BIBB","EM2","EAST MACON 2"
"BIBB","EM4","EAST MACON 4"
"BIBB","EM5","EAST MACON 5"
"JONES","10","HAWKINS"
"JONES","3","ROBERTS"
"JONES","2","CLINTON"
"JONES","1","GRAY"
"JONES","11","ETHRIDGE"
"TWIGGS","DB","DRY BRANCH"
"JONES","4","DAVIDSON"
"MONROE","07","DILLARDS"
"MONROE","04","CABANISS"
"MONROE","12","MIDDLEBROOKS"
"JONES","8","SANDERS"
"JASPER","295","MONTICELLO"
"BUTTS","STARK","STARK UNITED METHODIST CHURCH"
"JASPER","296","MARTIN & BURNEY"
"NEWTON","06BRW","06-BREWERS"
"NEWTON","14LEG","14-LEGUINN"
"NEWTON","15MN","15-MANSFIELD"
"NEWTON","16NB","16-NEWBORN"
"JASPER","290","WYATT"
"JONES","6","BARRON"
"JONES","5","POPE"
"MORGAN","04","DFACS"
"PUTNAM","101","101"
"TWIGGS","HV","HIGGSVILLE"
"TWIGGS","JV/W","JEFFERSONVILLE-WARE"
"LAURENS","12","DUDLEY"
"WILKINSON","11","TURKEY CREEK"
"WILKINSON","04","HIGH HILL"
"WILKINSON","10","RAMAH"
"WILKINSON","05","IRWINTON"
"BALDWIN","322","COOPERS"
"WILKINSON","06","IVEY"
"WILKINSON","08","MIDWAY"
"BALDWIN","1714","SCOTTBORO"
"WILKINSON","02","BLOODWORTH"
"LAURENS","18","WT ADAMS FIRE STATION 18"
"WILKINSON","03","GRIFFIN"
"LAURENS","05","FIRE DEPT STATION 5"
"LAURENS","03","FBC-FLC"
"LAURENS","04","CALHOUN PARK"
"LAURENS","07","BUCKEYE"
"JOHNSON","1301","BRAY"
"WILKINSON","07","LORD"
"WASHINGTON","88","OCONEE"
"BALDWIN","319","WEST BALDWIN"
"BALDWIN","MERI","MERIWETHER"
"BALDWIN","321W","WEST HARDWICK"
"BALDWIN","CTY1","SOUTH MILLEDGEVILLE"
"BALDWIN","CTY4","COURTHOUSE"
"BALDWIN","CTY5","WEST THOMAS"
"BALDWIN","318","NORTH BALDWIN"
"PUTNAM","107","107"
"BALDWIN","CTY2","CITY HALL ANNEX"
"BALDWIN","321E","EAST HARDWICK"
"BALDWIN","CTY3","BODDIE"
"BALDWIN","CTY6","NORTH MILLEDGEVILLE"
"BALDWIN","MONT","EAST BALDWIN"
"HANCOCK","1A","Devereux Fire"
"HANCOCK","3C","WARREN CHAPEL"
"PUTNAM","104","104"
"PUTNAM","105","105"
"PUTNAM","106","106"
"GREENE","008","OLD SALEM"
"WASHINGTON","99","DEEPSTEP"
"HANCOCK","4B","SECOND DARRIEN"
"HANCOCK","2B","SECOND BEULAH"
